#{"t_start": 1775915906.249092, "env_id": "None"}
r,l,t
-20.498622,131,4.088737
-21.030158,43,4.48544
-20.483304,31,4.755935
-21.754574,137,5.920264
-21.631607,121,6.941497
-20.104696,29,7.185847
-21.716063,194,8.832414
-22.028303,158,10.230242
-19.299834,294,12.695894
-18.743893,295,15.164267
-17.513519,114,16.248386
-17.959891,214,18.144421
53.927648,67,18.738423
-17.299451,106,19.673644
-18.485059,240,21.806664
53.813544,74,22.506242
-17.468429,148,23.830832
-0.020192,500,32.260621
0.220249,500,36.605425
0.751875,500,41.273488
0.01775,500,46.069033
0.593347,500,50.679765
0.407914,500,58.978594
0.46847,500,63.336955
-0.192978,500,67.994841
-1.010632,500,72.375524
0.112688,500,76.87955
0.310816,500,85.365178
0.598678,500,90.183774
0.57362,500,95.390315
0.802179,500,100.648145
0.782768,500,105.658528
1.176874,500,114.831622
1.355762,500,120.064641
53.868964,94,121.01011
1.795285,500,126.038375
2.314849,500,131.083045
-20.71598,41,131.4469
-20.580577,56,132.025732
-20.626584,103,133.086869
-20.620903,163,134.821854
-21.512699,294,141.645311
2.061419,500,146.694023
2.738328,500,152.081655
52.959669,329,155.05953
-17.06191,108,155.921486
53.588882,172,157.483384
-17.287936,292,160.370758
-17.361894,187,162.229839
-2.493132,500,171.105539
-2.291342,500,175.776521
-2.84499,500,180.276605
-3.11001,500,185.234083
-3.293295,500,189.516925
-3.334838,500,197.769175
-3.248978,500,202.805099
-2.430805,500,207.776528
-0.8706,500,212.289495
-0.28886,500,216.670896
-1.130731,500,224.650377
-1.896815,500,229.072118
1.012856,500,233.477401
3.496679,500,238.145317
3.541486,500,242.582843
3.471173,500,250.820388
53.758037,355,253.960257
-16.946148,38,254.281044
-17.057965,39,254.629613
53.872302,93,255.491372
-17.061872,37,255.797347
53.928717,78,256.466411
53.962892,99,257.416487
-17.558934,37,257.769177
-17.523441,36,258.11215
53.895425,173,259.661879
3.087618,500,264.199375
3.088793,500,268.741975
53.714893,213,270.758586
